                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.7034,                 1.4547,                 2.0135,                0.61914,                0.72556,                0.67967,                0.37754,                 1.4839,                 1.6024,                 2.0704,              0.0012643,              0.0012643,              0.0012643
                     63,                 1.5379,                 1.3757,                 1.9596,                0.85786,                 0.5721,                0.76156,                0.42722,                 1.3861,                 1.5422,                 1.9853,              0.0012577,              0.0012577,              0.0012577
                     64,                 1.6209,                 1.3666,                 1.9527,                0.93825,                0.82499,                 0.9106,                0.50236,                 1.4391,                 1.3584,                 1.9212,              0.0012511,              0.0012511,              0.0012511
                     65,                 1.6115,                 1.4124,                  1.907,                0.81425,                0.75002,                 0.8573,                0.45575,                 1.3283,                 1.3753,                 1.8788,              0.0012445,              0.0012445,              0.0012445
                     66,                 1.5359,                 1.2975,                 1.8444,                0.76026,                0.79327,                0.88912,                0.46195,                 1.2785,                  1.427,                 1.8316,              0.0012379,              0.0012379,              0.0012379
                     67,                 1.6235,                 1.3638,                  1.837,                0.97343,                0.71453,                 0.8958,                0.42831,                   1.39,                 1.4578,                 1.9037,              0.0012313,              0.0012313,              0.0012313
                     68,                 1.5972,                 1.3716,                 1.9015,                0.72185,                0.54477,                0.65679,                0.43008,                 1.2952,                 1.4199,                 1.8325,              0.0012247,              0.0012247,              0.0012247
                     69,                 1.4969,                 1.3182,                 1.8013,                0.93054,                0.65913,                0.85069,                0.47362,                 1.3291,                 1.3076,                 1.8483,              0.0012181,              0.0012181,              0.0012181
                     70,                 1.5135,                 1.2497,                 1.8218,                0.94095,                0.74137,                0.80358,                0.38561,                 1.4221,                 1.5331,                 1.8953,              0.0012115,              0.0012115,              0.0012115
                     71,                 1.4434,                 1.2318,                 1.7638,                0.92025,                0.67774,                0.81847,                0.39247,                  1.443,                 1.5122,                 1.8784,              0.0012049,              0.0012049,              0.0012049
                     72,                 1.5019,                 1.2508,                 1.8215,                0.93415,                0.76991,                0.90392,                0.53335,                 1.4952,                 1.5026,                 1.9038,              0.0011983,              0.0011983,              0.0011983
                     73,                 1.5743,                  1.295,                 1.8458,                0.97365,                    0.8,                0.90382,                0.50228,                 1.5463,                 1.4123,                 1.9527,              0.0011917,              0.0011917,              0.0011917
                     74,                 1.5667,                 1.4079,                 1.9658,                0.97582,                0.83809,                0.93416,                0.52267,                 1.4889,                 1.2601,                 1.9166,              0.0011851,              0.0011851,              0.0011851
                     75,                 1.5637,                 1.2457,                 1.8471,                 0.9776,                0.92753,                0.94644,                0.48866,                 1.6682,                 1.2611,                 1.9676,              0.0011785,              0.0011785,              0.0011785
                     76,                 1.5097,                  1.207,                 1.7712,                0.84003,                0.80837,                0.89656,                0.47999,                 1.3577,                 1.2639,                 1.8146,              0.0011719,              0.0011719,              0.0011719
                     77,                 1.5713,                 1.3591,                 1.9695,                0.83611,                0.86915,                0.92439,                0.50527,                 1.3287,                 1.2637,                 1.7869,              0.0011653,              0.0011653,              0.0011653
                     78,                 1.4471,                 1.2013,                 1.6869,                0.80223,                0.91518,                 0.9064,                0.58236,                 1.2533,                 1.2443,                 1.7151,              0.0011587,              0.0011587,              0.0011587
                     79,                 1.4382,                 1.2573,                 1.7885,                0.86307,                0.86276,                0.89085,                0.49755,                  1.314,                 1.3478,                 1.7947,              0.0011521,              0.0011521,              0.0011521
                     80,                 1.4652,                 1.2931,                 1.8109,                0.71246,                  0.675,                0.64586,                0.42367,                 1.2818,                 1.5022,                  1.812,              0.0011455,              0.0011455,              0.0011455
                     81,                 1.3715,                 1.1877,                 1.7733,                0.66578,                0.73004,                0.68339,                0.45872,                 1.2158,                   1.42,                 1.7453,              0.0011389,              0.0011389,              0.0011389
                     82,                 1.3953,                 1.1151,                 1.7032,                0.76395,                 0.9184,                 0.8782,                0.51708,                 1.2727,                 1.2246,                 1.7377,              0.0011323,              0.0011323,              0.0011323
                     83,                  1.385,                 1.1293,                 1.7174,                0.76705,                0.91586,                0.90638,                0.51475,                 1.3319,                 1.2287,                 1.7638,              0.0011257,              0.0011257,              0.0011257
                     84,                 1.4138,                 1.1787,                 1.7298,                0.85095,                0.72792,                0.75394,                0.48192,                 1.3003,                 1.2715,                 1.7813,              0.0011191,              0.0011191,              0.0011191
                     85,                 1.3296,                 1.2189,                 1.6584,                0.89678,                0.80924,                0.87761,                0.56081,                 1.3093,                 1.2151,                 1.7346,              0.0011125,              0.0011125,              0.0011125
                     86,                 1.4239,                 1.2023,                 1.7299,                0.79571,                0.88399,                0.84321,                0.50962,                 1.4129,                 1.3189,                 1.8073,              0.0011059,              0.0011059,              0.0011059
                     87,                 1.3395,                 1.1769,                 1.7131,                0.71265,                  0.775,                0.81652,                0.49377,                 1.4824,                 1.3138,                 1.8518,              0.0010993,              0.0010993,              0.0010993
                     88,                 1.3677,                 1.0922,                  1.732,                 0.8503,                0.73704,                 0.8477,                 0.5566,                 1.2509,                 1.1692,                  1.703,              0.0010927,              0.0010927,              0.0010927
                     89,                  1.328,                 1.1217,                 1.6921,                0.97552,                 0.7959,                0.88331,                 0.5533,                  1.154,                 1.1277,                 1.6318,              0.0010861,              0.0010861,              0.0010861
                     90,                 1.3258,                 1.0703,                 1.6837,                0.79774,                 0.9372,                0.90438,                 0.5896,                 1.0228,                 1.0226,                 1.5458,              0.0010795,              0.0010795,              0.0010795
                     91,                 1.2866,                 1.0524,                 1.6092,                0.96965,                0.89898,                0.94097,                0.55093,                 1.1123,                 1.0088,                 1.5856,              0.0010729,              0.0010729,              0.0010729
                     92,                 1.3736,                 1.1079,                 1.6857,                0.95831,                0.91859,                0.94587,                0.60517,                 1.0724,                 1.0265,                 1.5759,              0.0010663,              0.0010663,              0.0010663
                     93,                 1.2067,                 1.0497,                 1.6293,                0.96882,                0.75346,                 0.9121,                  0.599,                 1.0743,                0.99865,                 1.5762,              0.0010597,              0.0010597,              0.0010597
                     94,                 1.3662,                 1.1086,                 1.7167,                0.81486,                 0.8606,                0.86376,                0.52946,                 1.1208,                 1.1483,                 1.6048,              0.0010531,              0.0010531,              0.0010531
                     95,                 1.3602,                 1.1957,                 1.7554,                0.59122,                   0.65,                 0.6064,                0.46754,                 1.1891,                 1.3158,                 1.6848,              0.0010465,              0.0010465,              0.0010465
                     96,                 1.3282,                 1.1026,                 1.6761,                0.82192,                0.88275,                0.90592,                0.54057,                 1.1899,                 1.1226,                 1.6516,              0.0010399,              0.0010399,              0.0010399
                     97,                 1.3332,                 1.0914,                  1.685,                0.97927,                0.89366,                0.91743,                0.62873,                 1.2445,                 1.0806,                 1.6813,              0.0010333,              0.0010333,              0.0010333
                     98,                 1.2603,                 1.0487,                 1.5844,                 0.9431,                    0.9,                0.90819,                0.59098,                 1.4411,                 1.1357,                 1.7895,              0.0010267,              0.0010267,              0.0010267
                     99,                 1.2126,                0.97177,                 1.5875,                0.93639,                0.88267,                0.91039,                 0.5698,                 1.2831,                 1.0867,                 1.6778,              0.0010201,              0.0010201,              0.0010201
